
mu,x0,y0,vx0,vy0,jacobi_constant,distance_to_primary_1,distance_to_primary_2,label
0.01215,-1.4063660703250846,0.28253035487642697,-0.8282689053052792,0.7113786163399305,2.2645189288152467,1.4225546921575005,2.4108284868130894,1
0.01215,0.6348130600700405,1.286522699510122,-0.7899753816442681,-0.9752464310948663,1.8731565328789368,1.440035366735832,1.3340823577687855,1
0.01215,0.31279749673704926,-0.057965056832238626,-0.7806145904472221,-0.0120217242855718,5.513136914193216,0.33007699624366327,0.6775365893995252,2
0.01215,0.13491315837318618,0.902177989662931,-0.2888511135033591,0.013300805236735824,2.9294819183002807,0.9140857167590709,1.2415419368014002,0
0.01215,-0.09467401939604703,1.3586721366870171,-0.5874191988888873,-0.09165583646469044,2.9669445641389895,1.3611760315208845,1.737195506435311,1
0.01215,-0.5757283968550776,0.10869544413879106,-0.998238362194424,-0.043872752738149945,2.8025757260046453,0.5739645537646627,1.5673519396384537,0
0.01215,1.061471879937022,1.2533310998520633,-0.3029316462109273,0.5079813087556286,3.564277254806823,1.6503038468524176,1.2554915479850288,1
0.01215,-1.2062287720502047,-0.6799919067912142,0.4779063191001012,-0.013612584107353554,3.137166068538511,1.3741226681641183,2.297035187206083,1
0.01215,0.8982621125038652,-0.5732921347750681,0.44602765598627614,-0.715278086509473,2.303213936773693,1.0758782860475926,0.5802498266962042,0
0.01215,0.6124554942319146,-1.3611048502609635,-0.49306952953426864,0.39666150038250625,3.163724729908038,1.497577522810961,1.4119233153272825,1
0.01215,-0.20324455351336557,-0.2848774757629178,0.5104573732725721,0.3710489906328953,5.503549126213106,0.34303397000810915,1.224688291609851,2
0.01215,0.5934770707441133,0.7427586779275906,-0.4714235981811956,0.2543648182759266,2.707378617609177,0.9583708063452463,0.8409640069388291,1
0.01215,-1.1460158357435002,0.22179539484379351,-0.08421197018494375,0.5318934073446604,2.7939073337786797,1.1553548938054576,2.145361648330468,2
0.01215,0.026687281097556803,-0.6300289355476891,0.19962394212422319,0.48068593493257317,3.277830803319542,0.6312248363542146,1.1492476808048349,0
0.01215,-1.235857893105746,-1.3305564085118582,-0.8790627218113349,0.8356867934931946,2.928904035048256,1.8077171692168215,2.591381320858196,0
0.01215,-0.8128049075439433,-1.2761327132843927,0.2698245710068734,-0.06287574683803632,3.534862646963461,1.5065068811289202,2.2070053914697794,1
0.01215,0.09265321874362309,-1.0589594230061685,0.08541770341795041,-0.7558733989015898,2.425492309255228,1.0641328743312937,1.38664066605063,1
0.01215,0.3283187065496168,0.9971142580252542,0.2613309718893122,-0.5837055379292795,2.588470095796069,1.0536393043621817,1.1954992139677838,0
0.01215,-1.4070461171102209,0.9893075946271112,-0.8341895357448932,0.6642882520683573,2.986043239832237,1.7101066324402263,2.5911883236338675,1
0.01215,-0.6133670980038192,1.182947134544541,0.7210108234080517,0.13229950928484313,2.7393201393895525,1.326961160719964,1.9907938411766577,0
0.01215,1.3748722014274297,-1.4871157851181194,0.20856842975254497,-0.5663489330550451,4.7248986810136,2.033554510112791,1.536652056499849,1
0.01215,-0.4001198719797423,-0.45167512401432286,0.9192183749969052,-0.5182681536940186,2.5853238731734853,0.5954250911889182,1.4596132306802427,0
0.01215,-0.401871816977034,-0.09890414919068247,-0.46280940116331326,0.5018638309372132,4.636411954203191,0.40207601937321946,1.3932367922607705,2
0.01215,-1.4583264433674636,0.759758964263183,0.07036831588254899,0.6085653668377466,3.5475453075443486,1.6336033757094257,2.5614474181337705,1
0.01215,1.0095977855213492,-0.632527709355954,0.37778274794606603,0.7172205185802791,2.4447491805397106,1.2016904095152259,0.6329014688544915,1
0.01215,1.1125009810366686,1.0700017867114089,-0.11941098338147316,0.5398510015732605,3.3721497963482996,1.5523349035283427,1.0772379916429846,1
0.01215,-0.5858788409132074,0.5267528558034413,0.7907240192072005,-0.49176446059420287,2.30492267264708,0.7788667113137482,1.6595454304776076,1
0.01215,-0.5547438129426121,-1.2202953153381673,-0.2714327086542363,0.6988459772711104,2.72653847847807,1.335488188820807,1.9669052667490377,0
0.01215,-0.10093909244213595,0.3153667276928541,0.5096283122105132,0.5089770860507328,5.642630371096267,0.327627342986505,1.1335421742293794,2
0.01215,-0.7396788258110426,-1.4841715623793128,-0.20019106181790924,0.43395644530157695,3.727461210549176,1.652895465225023,2.2775252074529337,1
